scenes_stereo\bus05.wav 	 bus 
scenes_stereo\bus06.wav 	 bus 
scenes_stereo\busystreet05.wav 	 busystreet 
scenes_stereo\busystreet06.wav 	 busystreet 
scenes_stereo\office05.wav 	 office 
scenes_stereo\office06.wav 	 office 
scenes_stereo\openairmarket05.wav 	 openairmarket 
scenes_stereo\openairmarket06.wav 	 openairmarket 
scenes_stereo\park05.wav 	 park 
scenes_stereo\park06.wav 	 park 
scenes_stereo\quietstreet05.wav 	 quietstreet 
scenes_stereo\quietstreet06.wav 	 quietstreet 
scenes_stereo\restaurant05.wav 	 restaurant 
scenes_stereo\restaurant06.wav 	 restaurant 
scenes_stereo\supermarket05.wav 	 supermarket 
scenes_stereo\supermarket06.wav 	 supermarket 
scenes_stereo\tube05.wav 	 tube 
scenes_stereo\tube06.wav 	 tube 
scenes_stereo\tubestation05.wav 	 tubestation 
scenes_stereo\tubestation06.wav 	 tubestation 
